Instruction,Opcode,Valid 64-bit,Valid 32-bit,Valid 16-bit,Feature Flags,Operand 1,Operand 2,Operand 3,Operand 4,Tuple Type,Description
"AAA","37","Invalid","Valid","Valid","","NA","NA","NA","NA","","ASCII adjust AL after addition."
"AAD","D5 0A","Invalid","Valid","Valid","","NA","NA","NA","NA","","ASCII adjust AX before division."
"AAD imm8","D5 ib","Invalid","Valid","Valid","","NA","NA","NA","NA","","Adjust AX before division to number base imm8."
"AAM","D4 0A","Invalid","Valid","Valid","","NA","NA","NA","NA","","ASCII adjust AX after multiply."
"AAM imm8","D4 ib","Invalid","Valid","Valid","","NA","NA","NA","NA","","Adjust AX after multiply to number base imm8."
"AAS","3F","Invalid","Valid","Valid","","NA","NA","NA","NA","","ASCII adjust AL after subtraction."
"ADC AL, imm8","14 ib","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","Add with carry imm8 to AL."
"ADC AX, imm16","15 iw","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","Add with carry imm16 to AX."
"ADC EAX, imm32","15 id","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","Add with carry imm32 to EAX."
"ADC RAX, imm32","REX.W + 15 id","Valid","Invalid","Invalid","","AL/AX/EAX/RAX","imm8","NA","NA","","Add with carry imm32 sign extended to 64- bits to RAX."
"ADC r/m8, imm8","80 /2 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add with carry imm8 to r/m8."
"ADC r/m8 , imm8","REX + 80 /2 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add with carry imm8 to r/m8."
"ADC r/m16, imm16","81 /2 iw","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add with carry imm16 to r/m16."
"ADC r/m32, imm32","81 /2 id","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add with CF imm32 to r/m32."
"ADC r/m64, imm32","REX.W + 81 /2 id","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add with CF imm32 sign extended to 64-bits to r/m64."
"ADC r/m16, imm8","83 /2 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add with CF sign-extended imm8 to r/m16."
"ADC r/m32, imm8","83 /2 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add with CF sign-extended imm8 into r/m32."
"ADC r/m64, imm8","REX.W + 83 /2 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add with CF sign-extended imm8 into r/m64."
"ADC r/m8, r8","10 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add with carry byte register to r/m8."
"ADC r/m8 , r8","REX + 10 /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add with carry byte register to r/m64."
"ADC r/m16, r16","11 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add with carry r16 to r/m16."
"ADC r/m32, r32","11 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add with CF r32 to r/m32."
"ADC r/m64, r64","REX.W + 11 /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add with CF r64 to r/m64."
"ADC r8, r/m8","12 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add with carry r/m8 to byte register."
"ADC r8 , r/m8","REX + 12 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add with carry r/m64 to byte register."
"ADC r16, r/m16","13 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add with carry r/m16 to r16."
"ADC r32, r/m32","13 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add with CF r/m32 to r32."
"ADC r64, r/m64","REX.W + 13 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add with CF r/m64 to r64."
"ADCX r32, r/m32","66 0F 38 F6 /r","Valid","Valid","Invalid","ADX","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Unsigned addition of r32 with CF, r/m32 to r32, writes CF."
"ADCX r64, r/m64","66 REX.w 0F 38 F6 /r","Valid","Invalid","Invalid","ADX","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Unsigned addition of r64 with CF, r/m64 to r64, writes CF."
"ADD AL, imm8","04 ib","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","Add imm8 to AL."
"ADD AX, imm16","05 iw","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","Add imm16 to AX."
"ADD EAX, imm32","05 id","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8","NA","NA","","Add imm32 to EAX."
"ADD RAX, imm32","REX.W + 05 id","Valid","Invalid","Invalid","","AL/AX/EAX/RAX","imm8","NA","NA","","Add imm32 sign-extended to 64-bits to RAX."
"ADD r/m8, imm8","80 /0 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add imm8 to r/m8."
"ADD r/m8 , imm8","REX + 80 /0 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add sign-extended imm8 to r/m8."
"ADD r/m16, imm16","81 /0 iw","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add imm16 to r/m16."
"ADD r/m32, imm32","81 /0 id","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add imm32 to r/m32."
"ADD r/m64, imm32","REX.W + 81 /0 id","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add imm32 sign-extended to 64-bits to r/m64."
"ADD r/m16, imm8","83 /0 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add sign-extended imm8 to r/m16."
"ADD r/m32, imm8","83 /0 ib","Valid","Valid","Valid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add sign-extended imm8 to r/m32."
"ADD r/m64, imm8","REX.W + 83 /0 ib","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","imm8","NA","NA","","Add sign-extended imm8 to r/m64."
"ADD r/m8, r8","00 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add r8 to r/m8."
"ADD r/m8 , r8","REX + 00 /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add r8 to r/m8."
"ADD r/m16, r16","01 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add r16 to r/m16."
"ADD r/m32, r32","01 /r","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add r32 to r/m32."
"ADD r/m64, r64","REX.W + 01 /r","Valid","Invalid","Invalid","","ModRM:r/m (r, w)","ModRM:reg (r)","NA","NA","","Add r64 to r/m64."
"ADD r8, r/m8","02 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add r/m8 to r8."
"ADD r8 , r/m8","REX + 02 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add r/m8 to r8."
"ADD r16, r/m16","03 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add r/m16 to r16."
"ADD r32, r/m32","03 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add r/m32 to r32."
"ADD r64, r/m64","REX.W + 03 /r","Valid","Invalid","Invalid","","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","","Add r/m64 to r64."
"ADDPD xmm1, xmm2/m128","66 0F 58 /r","Valid","Valid","Invalid","SSE2","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Add packed double-precision floating-point values from xmm2/mem to xmm1 and store result in xmm1."
"VADDPD xmm1,xmm2, xmm3/m128","VEX.NDS.128.66.0F.WIG 58 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Add packed double-precision floating-point values from xmm3/mem to xmm2 and store result in xmm1."
"VADDPD ymm1, ymm2, ymm3/m256","VEX.NDS.256.66.0F.WIG 58 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv","ModRM:r/m (r)","NA","NA","Add packed double-precision floating-point values from ymm3/mem to ymm2 and store result in ymm1."
"VADDPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.NDS.128.66.0F.W1 58 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Add packed double-precision floating-point values from xmm3/m128/m64bcst to xmm2 and store result in xmm1 with writemask k1."
